,Last update: 25-February-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copyright © 2023-2024 by Bernardo Kastrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Talos ES™ instruction set,,,Decoded instruction word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IMPORTANT:,,,"The ALU always performs RH=AH+BH,RL=AL-BL at all cycles, in parallel with the operations below, unless another ALU operation is specified (grey-shaded mnemonics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opcode BIN,Opcode HEX,Opcode DEC,ASSEMBLY MNEMONIC,AHLE,AHOE,ALLE,ALOE,AR1CE,AR1LE,AR1OE,AR2CE,AR2LE,AR2OE,BHLE,BHOE,BLLE,BLOE,EDBIE,IBHIOE,IBLIOE,JAHLE,JALLE,PCLE,RHOE,RLOE,SFW,SNH,SNL,IMMHOE,IMMLOE,RD,WR,CIMF,SOMF,FREE,CHECK-SUM
11100,1C,28,"AH=(AR2),AR1++",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
11101,1D,29,"AL=(AR2),AR1++",0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
11110,1E,30,"BH=(AR2),AR1++",0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
11111,1F,31,"BL=(AR2),AR1++",0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
100000,20,32,"JAH=(AR2),AR1++",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
100001,21,33,"JAL=(AR2),AR1++",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7
100010,22,34,(AR1)=AH,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
100011,23,35,(AR1)=AL,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
100100,24,36,(AR1)=BH,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
100101,25,37,(AR1)=BL,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
100110,26,38,(AR1)=RH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5
100111,27,39,(AR1)=RL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5
101000,28,40,(AR2)=AH,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
101001,29,41,(AR2)=AL,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
101010,2A,42,(AR2)=BH,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
101011,2B,43,(AR2)=BL,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
101100,2C,44,(AR2)=RH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5
101101,2D,45,(AR2)=RL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5
101110,2E,46,"(AR1)=AH,AR2++",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
101111,2F,47,"(AR1)=AL,AR2++",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
110000,30,48,"(AR1)=BH,AR2++",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
110001,31,49,"(AR1)=BL,AR2++",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
110010,32,50,"(AR1)=RH,AR2++",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6
110011,33,51,"(AR1)=RL,AR2++",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6
110100,34,52,"(AR2)=AH,AR1++",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
110101,35,53,"(AR2)=AL,AR1++",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
110110,36,54,"(AR2)=BH,AR1++",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
110111,37,55,"(AR2)=BL,AR1++",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
111000,38,56,"(AR2)=RH,AR1++",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6
111001,39,57,"(AR2)=RL,AR1++",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6
111010,3A,58,A=B,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
111011,3B,59,A=R,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5
111100,3C,60,B=A,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
111101,3D,61,B=R,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5
111110,3E,62,AR1=A,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
111111,3F,63,AR1=B,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1000000,40,64,AR1=R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4
1000001,41,65,AR2=A,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1000010,42,66,AR2=B,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1000011,43,67,AR2=R,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4
1000100,44,68,JA=A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
1000101,45,69,JA=B,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
1000110,46,70,JA=R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,5
1000111,47,71,AH=BH,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1001000,48,72,AH=RH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
1001001,49,73,BH=AH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1001010,4A,74,BH=RH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
